ID,Date,Line Type,Amount,Currency,Payment reference,Description,Processor ID,Payout,Order ID
ad-GHVF6DQPMGGDP672,2023-07-20 19:36:56,CREDIT,21.71,CAD,GHVF6DQPMGGDP672,,GHVF6DQPMGGDP672,2710101971532977,60113
ad-fe-GHVF6DQPMGGDP672,2023-07-20 19:36:56,FEE,-0.1,CAD,GHVF6DQPMGGDP672,,fe-GHVF6DQPMGGDP672,2710101971532977,60113
ad-QWVPRKBB25H6SP42,2023-07-20 19:39:57,CREDIT,9.25,CAD,QWVPRKBB25H6SP42,,QWVPRKBB25H6SP42,2710101971532977,60115
ad-fe-QWVPRKBB25H6SP42,2023-07-20 19:39:57,FEE,-0.27,CAD,QWVPRKBB25H6SP42,,fe-QWVPRKBB25H6SP42,2710101971532977,60115
ad-C2VLRHDGWKK3FKG2,2023-07-20 19:40:37,CREDIT,13.57,CAD,C2VLRHDGWKK3FKG2,,C2VLRHDGWKK3FKG2,2710101971532977,60116
ad-fe-C2VLRHDGWKK3FKG2,2023-07-20 19:40:37,FEE,-0.34,CAD,C2VLRHDGWKK3FKG2,,fe-C2VLRHDGWKK3FKG2,2710101971532977,60116
ad-K55J993TDX684V62,2023-07-20 19:40:43,CREDIT,10.58,CAD,K55J993TDX684V62,,K55J993TDX684V62,2710101971532977,60117
ad-fe-K55J993TDX684V62,2023-07-20 19:40:43,FEE,-0.1,CAD,K55J993TDX684V62,,fe-K55J993TDX684V62,2710101971532977,60117
ad-ZK8Z3LXCK5RCRMG2,2023-07-20 19:41:31,CREDIT,10.58,CAD,ZK8Z3LXCK5RCRMG2,,ZK8Z3LXCK5RCRMG2,2710101971532977,60118
ad-fe-ZK8Z3LXCK5RCRMG2,2023-07-20 19:41:31,FEE,-0.1,CAD,ZK8Z3LXCK5RCRMG2,,fe-ZK8Z3LXCK5RCRMG2,2710101971532977,60118
ad-QD9XRCTBFF3KGX62,2023-07-20 19:41:46,CREDIT,13.22,CAD,QD9XRCTBFF3KGX62,,QD9XRCTBFF3KGX62,2710101971532977,60119
ad-fe-QD9XRCTBFF3KGX62,2023-07-20 19:41:46,FEE,-0.1,CAD,QD9XRCTBFF3KGX62,,fe-QD9XRCTBFF3KGX62,2710101971532977,60119
ad-N8W634Q87969BV62,2023-07-20 19:42:36,CREDIT,11.9,CAD,N8W634Q87969BV62,,N8W634Q87969BV62,2710101971532977,60120
ad-fe-N8W634Q87969BV62,2023-07-20 19:42:36,FEE,-0.31,CAD,N8W634Q87969BV62,,fe-N8W634Q87969BV62,2710101971532977,60120
ad-P8MDRLW7KM6LHK42,2023-07-20 19:46:54,CREDIT,8.05,CAD,P8MDRLW7KM6LHK42,,P8MDRLW7KM6LHK42,2710101971532977,60122
ad-fe-P8MDRLW7KM6LHK42,2023-07-20 19:46:54,FEE,-0.1,CAD,P8MDRLW7KM6LHK42,,fe-P8MDRLW7KM6LHK42,2710101971532977,60122
ad-TWRXKD52L87PT872,2023-07-20 19:49:24,CREDIT,18.51,CAD,TWRXKD52L87PT872,,TWRXKD52L87PT872,2710101971532977,60123
ad-fe-TWRXKD52L87PT872,2023-07-20 19:49:24,FEE,-0.43,CAD,TWRXKD52L87PT872,,fe-TWRXKD52L87PT872,2710101971532977,60123
ad-TMDS5CMMFBK4K472,2023-07-20 19:51:32,CREDIT,21.16,CAD,TMDS5CMMFBK4K472,,TMDS5CMMFBK4K472,2710101971532977,60126
ad-fe-TMDS5CMMFBK4K472,2023-07-20 19:51:32,FEE,-0.48,CAD,TMDS5CMMFBK4K472,,fe-TMDS5CMMFBK4K472,2710101971532977,60126
ad-WBLCQG3TDX684V62,2023-07-20 19:51:54,CREDIT,10.58,CAD,WBLCQG3TDX684V62,,WBLCQG3TDX684V62,2710101971532977,60125
ad-fe-WBLCQG3TDX684V62,2023-07-20 19:51:54,FEE,-0.1,CAD,WBLCQG3TDX684V62,,fe-WBLCQG3TDX684V62,2710101971532977,60125
ad-ZSXDVLVF5Z472Q42,2023-07-20 19:54:56,CREDIT,10.58,CAD,ZSXDVLVF5Z472Q42,,ZSXDVLVF5Z472Q42,2710101971532977,60127
ad-fe-ZSXDVLVF5Z472Q42,2023-07-20 19:54:56,FEE,-0.1,CAD,ZSXDVLVF5Z472Q42,,fe-ZSXDVLVF5Z472Q42,2710101971532977,60127
ad-K23LNTPPK43WTM42,2023-07-20 19:56:56,CREDIT,15.87,CAD,K23LNTPPK43WTM42,,K23LNTPPK43WTM42,2710101971532977,60130
ad-fe-K23LNTPPK43WTM42,2023-07-20 19:56:56,FEE,-0.1,CAD,K23LNTPPK43WTM42,,fe-K23LNTPPK43WTM42,2710101971532977,60130
ad-NGH8F46LG8FVMM42,2023-07-20 19:58:01,CREDIT,9.25,CAD,NGH8F46LG8FVMM42,,NGH8F46LG8FVMM42,2710101971532977,60129
ad-fe-NGH8F46LG8FVMM42,2023-07-20 19:58:01,FEE,-0.27,CAD,NGH8F46LG8FVMM42,,fe-NGH8F46LG8FVMM42,2710101971532977,60129
ad-VLT2WL4X4J8VMM42,2023-07-20 19:59:05,CREDIT,22.08,CAD,VLT2WL4X4J8VMM42,,VLT2WL4X4J8VMM42,2710101971532977,60131
ad-fe-VLT2WL4X4J8VMM42,2023-07-20 19:59:05,FEE,-0.1,CAD,VLT2WL4X4J8VMM42,,fe-VLT2WL4X4J8VMM42,2710101971532977,60131
ad-ZB5KB828D6D4MKG2,2023-07-20 20:06:40,CREDIT,10.58,CAD,ZB5KB828D6D4MKG2,,ZB5KB828D6D4MKG2,2710101971532977,60133
ad-fe-ZB5KB828D6D4MKG2,2023-07-20 20:06:40,FEE,-0.29,CAD,ZB5KB828D6D4MKG2,,fe-ZB5KB828D6D4MKG2,2710101971532977,60133
ad-WX7WQ4LZ3LD4K472,2023-07-20 20:07:12,CREDIT,13.22,CAD,WX7WQ4LZ3LD4K472,,WX7WQ4LZ3LD4K472,2710101971532977,60134
ad-fe-WX7WQ4LZ3LD4K472,2023-07-20 20:07:12,FEE,-0.1,CAD,WX7WQ4LZ3LD4K472,,fe-WX7WQ4LZ3LD4K472,2710101971532977,60134
ad-KBVWPJ8KXS8J8X62,2023-07-20 20:07:53,CREDIT,9.2,CAD,KBVWPJ8KXS8J8X62,,KBVWPJ8KXS8J8X62,2710101971532977,60135
ad-fe-KBVWPJ8KXS8J8X62,2023-07-20 20:07:53,FEE,-0.1,CAD,KBVWPJ8KXS8J8X62,,fe-KBVWPJ8KXS8J8X62,2710101971532977,60135
ad-RHC7RKQ87969BV62,2023-07-20 20:10:42,CREDIT,10.58,CAD,RHC7RKQ87969BV62,,RHC7RKQ87969BV62,2710101971532977,60132
ad-fe-RHC7RKQ87969BV62,2023-07-20 20:10:42,FEE,-0.29,CAD,RHC7RKQ87969BV62,,fe-RHC7RKQ87969BV62,2710101971532977,60132
ad-VQ3SS4QPK43WTM42,2023-07-20 20:11:35,CREDIT,13.8,CAD,VQ3SS4QPK43WTM42,,VQ3SS4QPK43WTM42,2710101971532977,60137
ad-fe-VQ3SS4QPK43WTM42,2023-07-20 20:11:35,FEE,-0.1,CAD,VQ3SS4QPK43WTM42,,fe-VQ3SS4QPK43WTM42,2710101971532977,60137
ad-TK92BBLZ3LD4K472,2023-07-20 20:18:33,CREDIT,13.57,CAD,TK92BBLZ3LD4K472,,TK92BBLZ3LD4K472,2710101971532977,60138
ad-fe-TK92BBLZ3LD4K472,2023-07-20 20:18:33,FEE,-0.1,CAD,TK92BBLZ3LD4K472,,fe-TK92BBLZ3LD4K472,2710101971532977,60138
ad-FX7PLM8V8Q8RBV42,2023-07-20 20:20:15,CREDIT,10.58,CAD,FX7PLM8V8Q8RBV42,,FX7PLM8V8Q8RBV42,2710101971532977,60139
ad-fe-FX7PLM8V8Q8RBV42,2023-07-20 20:20:15,FEE,-0.1,CAD,FX7PLM8V8Q8RBV42,,fe-FX7PLM8V8Q8RBV42,2710101971532977,60139
ad-X3JKFHKZZ7ZLPK42,2023-07-20 20:21:23,CREDIT,8.05,CAD,X3JKFHKZZ7ZLPK42,,X3JKFHKZZ7ZLPK42,2710101971532977,60140
ad-fe-X3JKFHKZZ7ZLPK42,2023-07-20 20:21:23,FEE,-0.1,CAD,X3JKFHKZZ7ZLPK42,,fe-X3JKFHKZZ7ZLPK42,2710101971532977,60140
ad-FQ7VGLX3HP972Q42,2023-07-20 20:22:42,CREDIT,13.22,CAD,FQ7VGLX3HP972Q42,,FQ7VGLX3HP972Q42,2710101971532977,60136
ad-fe-FQ7VGLX3HP972Q42,2023-07-20 20:22:42,FEE,-0.34,CAD,FQ7VGLX3HP972Q42,,fe-FQ7VGLX3HP972Q42,2710101971532977,60136
